"community","subtopic","n"
1,"Artificial Intelligence in Healthcare and Education",209
1,"Machine Learning in Healthcare",34
1,"Artificial Intelligence in Healthcare",2
2,"Artificial Intelligence in Healthcare and Education",70
2,"Machine Learning in Healthcare",9
2,"Artificial Intelligence in Healthcare",3
3,"Machine Learning in Materials Science",46
4,"Artificial Intelligence in Healthcare and Education",145
4,"Machine Learning in Healthcare",9
4,"Artificial Intelligence in Healthcare",5
5,"Artificial Intelligence in Healthcare and Education",138
5,"Machine Learning in Healthcare",16
5,"Machine Learning and Data Classification",1
6,"Machine Learning in Healthcare",2
6,"Natural Language Processing Techniques",1
7,"Machine Learning in Healthcare",35
7,"Artificial Intelligence in Healthcare and Education",5
7,"Artificial Intelligence in Healthcare",1
8,"Artificial Intelligence in Healthcare and Education",111
8,"Machine Learning in Healthcare",11
